#time(100ms)	MEM_LOAD_MISC_RETIRED:LLC_MISS	CPU_CLK_UNHALTED:THREAD_P
2990	379802	6473182842
3000	379805	6473190436
3010	379808	6473197740
3020	380892	6481576833
3030	381478	6497340396
3040	381481	6497348091
3050	381806	6499182478
3060	382969	6528371526
3070	383960	6551615503
3080	384683	6578798839
3090	385431	6597851149
3100	386744	6616030802
3110	387679	6637964238
3120	388822	6661270150
3130	389704	6686695312
3140	391190	6718789605
3150	391388	6720393538
3160	392294	6749257190
3170	392523	6750201522
3180	393645	6774435014
3190	393746	6774702778
3200	395296	6807068921
3210	396351	6830260096
3220	396377	6830376723
3230	397200	6857088612
3240	397628	6859269663
3250	397631	6859277253
3260	397634	6859284784
3270	397637	6859292362
3280	398199	6879791839
3290	399989	6908865155
3300	401523	6945587357
3310	402953	6979492716
3320	404467	7008437394
3330	405964	7050498667
3340	407239	7084382274
3350	408365	7108207615
3360	408368	7108214151
3370	408372	7108221745
3380	408375	7108229308
3390	408378	7108237004
3400	408381	7108244471
3410	408384	7108252062
3420	408387	7108259649
3430	408391	7108267290
3440	408394	7108274958
3450	408397	7108282614
3460	408400	7108290270
3470	408403	7108297892
3480	408406	7108306566
3490	408409	7108314644
3500	408412	7108322408
3510	408416	7108330164
3520	408419	7108337635
3530	408422	7108345297
3540	408425	7108353009
3550	408428	7108360695
3560	408431	7108368381
3570	408434	7108376023
3580	408437	7108383594
3590	408440	7108391295
3600	408444	7108398988
3610	408448	7108406707
3620	408451	7108414382
3630	408454	7108423037
3640	408524	7108433832
3650	408527	7108441423
3660	408530	7108448971
3670	408533	7108456536
3680	408536	7108464144
3690	408539	7108471816
3700	408542	7108479410
3710	408545	7108486997
3720	408548	7108494541
3730	408551	7108502128
3740	408554	7108509676
3750	408557	7108517225
3760	408560	7108524905
3770	408563	7108532574
3780	408566	7108540085
3790	409627	7112160321
3800	410539	7136154992
3810	411685	7159277512
3820	412644	7181300496
3830	413784	7203454008
3840	415263	7232969410
3850	416783	7259221395
3860	418120	7302175052
3870	419495	7329290038
3880	420838	7357571162
3890	422760	7389738094
3900	424396	7430055915
3910	425721	7459594977
3920	426722	7484157982
3930	427868	7507164221
3940	428880	7531536016
3950	429716	7553250151
3960	430719	7569287501
3970	431736	7588048449
3980	432714	7607009115
3990	434260	7648519819
4000	435714	7680440081
4010	437081	7704775262
4020	438302	7736527160
4030	439509	7763594460
4040	440705	7786500252
4050	441761	7810125670
4060	442615	7831593218
4070	443557	7856122193
4080	445031	7880672067
4090	446544	7925369289
4100	447736	7949071660
4110	448793	7971215676
4120	449751	7997539250
4130	451101	8021580435
4140	452586	8063392135
4150	453953	8091521642
4160	455647	8122316428
4170	457086	8166804852
4180	458113	8189515823
4190	459687	8217872241
4200	461165	8261720032
4210	462391	8288142661
4220	463708	8311203951
4230	464989	8336168777
4240	466021	8362279886
4250	467013	8383257487
4260	467674	8402180697
4270	468486	8427567047
4280	469255	8448089950
4290	470611	8473846138
4300	472101	8505216196
4310	473627	8547856668
4320	475054	8578067572
4330	476272	8603315580
4340	477915	8633250645
4350	478885	8663949609
4360	479877	8691389167
4370	481064	8715962337
4380	482267	8749146607
4390	483439	8773701821
